Periodo,Bias,Indice industria geral,Indice industria de Transformacao,Indice servicos (total),Indice de Exportacao,Indice de Importacao,IBOVESPA (pontos)
1995Q4,1,100,100,100,100,100,4268.6
1996Q1,1,93.19,89.57,98.31,95.16,82.07,5021.37
1996Q2,1,97.9,96.06,100.58,104.64,98.2,5645.27
1996Q3,1,111.62,115.21,105.75,106.67,114.44,6276.47
1996Q4,1,101.19,99.48,104.55,91.85,127.67,6746.33
1997Q1,1,96.25,92.02,100.2,94.7,104.68,5899.23
1997Q2,1,105.77,104.88,102.85,119.64,121.6,11297.67
1997Q3,1,111.85,109.88,107.1,125.34,132.62,11759.33
1997Q4,1,107.7,103.53,109.43,102.54,125.13,9525.33
1998Q1,1,96.31,88.11,101.6,104.57,112.9,10745.33
1998Q2,1,105.47,101.19,104.76,125.39,118.86,10400.33
1998Q3,1,108.83,104.56,109.02,125.17,129.85,7923.67
1998Q4,1,102.15,96.58,110.15,108.79,122.14,7487
1999Q1,1,92.23,84.37,104.41,104.47,92.73,9259
1999Q2,1,100.81,97.05,106.51,124.12,101.07,11355
1999Q3,1,105,101.34,109.99,129.29,105.48,10703.67
1999Q4,1,103.95,100.4,112.37,132.51,111.45,14189.67
2000Q1,1,96.45,89.91,107.68,126.08,96.52,17289.33
2000Q2,1,104.78,102.2,110.04,138,108.46,15740
2000Q3,1,109.67,107.1,114.74,153.32,124.19,16576
2000Q4,1,108.83,105.76,117.48,136.06,125.92,14471
2001Q1,1,100.42,94.24,110.29,140.18,119.95,16000.33
2001Q2,1,105.23,102.97,113.54,157.08,122.37,14708.33
2001Q3,1,106.79,106.93,116.73,157.94,117.73,12409.67
2001Q4,1,104.59,103.72,118.66,149.34,110.19,12601.33
2002Q1,1,98.08,92.07,113.53,133.77,97.66,13336
2002Q2,1,107.66,103.65,116.37,139.69,102.14,12361.67
2002Q3,1,112.93,110.06,120.69,189.75,107.59,9588.67
2002Q4,1,114.21,110.61,122.97,180.49,100.28,10647.67
2003Q1,1,98.15,89.66,115.61,153.39,93.13,10831.33
2003Q2,1,105.52,105.8,117.4,177.97,97.94,12983
2003Q3,1,115.09,118.54,121.26,192.73,103.62,14918.33
2003Q4,1,114.59,113.47,123.99,190.52,111.01,20133.67
2004Q1,1,105.39,102.38,119.45,181.37,102.7,21916
2004Q2,1,114.92,114.16,123.94,201.17,109.95,20099.67
2004Q3,1,125.25,126.03,127.59,219.15,117.07,22794.67
2004Q4,1,123.38,123.72,131.24,216.35,118.02,24792
2005Q1,1,109.82,107.01,124.87,199.3,111.86,26366.33
2005Q2,1,120.94,121.15,129.18,223.56,119.1,25033.67
2005Q3,1,123.86,124.74,132.1,243.05,126.11,28556.33
2005Q4,1,123.68,123.86,134.46,231.03,124.08,31854.67
2006Q1,1,113.45,109.69,130.62,216.22,128.41,38314.33
2006Q2,1,118.69,117.6,134.21,219.7,134.68,37841
2006Q3,1,127.01,126.82,137.86,261.66,151.72,36586
2006Q4,1,128.74,128.52,140.46,242.74,151.81,41888.67
2007Q1,1,118.14,113.08,138.04,228.19,153.26,44779
2007Q2,1,129.07,127.6,142.25,247.91,158.36,51872
2007Q3,1,135.84,136.37,145.27,264.74,181.12,56428
2007Q4,1,135.12,135.21,149.24,257.56,184.69,64069.67
2008Q1,1,126.58,123.83,145.34,224.18,176.97,61315.67
2008Q2,1,135.83,135.84,150.48,262.52,195.71,68492.33
2008Q3,1,145.04,145.75,154.29,273.57,219.98,54908.67
2008Q4,1,131.97,128.12,152.43,242.22,200.11,37133.67
2009Q1,1,112.91,103.72,146.77,192.54,154.04,39469.67
2009Q2,1,125.01,117.49,151.51,236.47,171.07,50650.67
2009Q3,1,136.69,130.49,156.47,247.75,194.54,57591
2009Q4,1,139.44,132.4,160.24,233.02,212.87,65726
2010Q1,1,130.2,120.23,155.88,222.31,213.97,67425.33
2010Q2,1,141.25,131.68,160.64,253.13,232.84,63836.33
2010Q3,1,148.05,139.8,165.43,276.31,267.03,67363
2010Q4,1,146.99,136.89,168.73,264.67,265.07,69227.33
2011Q1,1,137.68,126.14,163.22,231.93,239.26,67514.33
2011Q2,1,148.49,137.45,167.63,269.77,265.98,64385
